"tarih","deger"
2002-01-01,41.4
2003-01-01,42.2
2004-01-01,41.3
2005-01-01,42.6
2006-01-01,39.6
2007-01-01,38.4
2008-01-01,39
2009-01-01,39
2010-01-01,38.8
2011-01-01,40
2012-01-01,40.2
2013-01-01,40.2
2014-01-01,41.2
2015-01-01,42.9
2016-01-01,41.9
2017-01-01,43.5
2018-01-01,42.4
2019-01-01,43.8
2020-01-01,43
2021-01-01,44.4
2022-01-01,44.5
2023-01-01,43.7
