"tarih","deger"
2024-07-01,-5063
2024-08-01,-2886
2024-09-01,-3108
2024-10-01,-3504
2024-11-01,-5242
2024-12-01,-6231
2025-01-01,-5499
2025-02-01,-5435
2025-03-01,-4800
2025-04-01,-9850
2025-05-01,-4726
2025-06-01,-6471
2025-07-01,-4561
2025-08-01,-2773
2025-09-01,-5333
2025-10-01,-5884
2025-11-01,-6351
2025-12-01,-7460
2026-01-01,-6885
2026-02-01,-7511
2026-03-01,-9472
2026-04-01,-6900
2026-05-01,-4452
2026-06-01,-8566
2026-07-01,-5579
